Date,Open,High,Low,Close,Adj Close,Volume
2019-08-20,0.283159,0.283241,0.273442,0.275806,0.275806,1056822924
2019-08-21,0.275765,0.275765,0.260688,0.266261,0.266261,1164536123
2019-08-22,0.265802,0.273342,0.261967,0.270944,0.270944,1065712730
2019-08-23,0.270575,0.277568,0.268560,0.276545,0.276545,999419343
2019-08-24,0.276543,0.276543,0.267527,0.272553,0.272553,934380519
2019-08-25,0.272612,0.274924,0.267954,0.270088,0.270088,964693736
2019-08-26,0.269946,0.277432,0.268575,0.270788,0.270788,1332395983
2019-08-27,0.270899,0.271042,0.266216,0.269618,0.269618,1028940803
2019-08-28,0.269583,0.270293,0.252948,0.257450,0.257450,1275267910
2019-08-29,0.257461,0.261091,0.249951,0.257045,0.257045,1279995806
2019-08-30,0.256951,0.257325,0.252734,0.256218,0.256218,997071647
2019-08-31,0.256195,0.260507,0.255454,0.259204,0.259204,845142390
2019-09-01,0.259171,0.259659,0.254306,0.258054,0.258054,825579908
2019-09-02,0.258064,0.262465,0.254382,0.260820,0.260820,1044772829
2019-09-03,0.260838,0.265279,0.258163,0.263139,0.263139,1162545092
2019-09-04,0.263185,0.263185,0.258212,0.259905,0.259905,1068332805
2019-09-05,0.259912,0.260707,0.254960,0.256346,0.256346,1050490374
2019-09-06,0.256269,0.259332,0.250805,0.252340,0.252340,1063044201
2019-09-07,0.252411,0.262488,0.251273,0.260687,0.260687,962765308
2019-09-08,0.260777,0.264973,0.259270,0.263084,0.263084,1043077808
2019-09-09,0.263247,0.263694,0.257643,0.259562,0.259562,1157441363
2019-09-10,0.259690,0.263649,0.256105,0.258671,0.258671,975503111
2019-09-11,0.258692,0.259832,0.253401,0.255956,0.255956,992565704
2019-09-12,0.255973,0.257015,0.252555,0.254811,0.254811,974717877
2019-09-13,0.254795,0.256326,0.253137,0.255551,0.255551,869481606
2019-09-14,0.255485,0.264492,0.254848,0.261167,0.261167,1005057193
2019-09-15,0.261170,0.264858,0.259714,0.261628,0.261628,859761209
2019-09-16,0.261574,0.263923,0.259181,0.260952,0.260952,878264189
2019-09-17,0.260862,0.294556,0.260308,0.285013,0.285013,1981364785
2019-09-18,0.284163,0.322034,0.283921,0.313776,0.313776,2548478916
2019-09-19,0.313740,0.313814,0.287051,0.302441,0.302441,2314376584
2019-09-20,0.302455,0.302455,0.288729,0.294470,0.294470,1558069365
2019-09-21,0.294456,0.297573,0.287775,0.289443,0.289443,1266771268
2019-09-22,0.289460,0.289673,0.274316,0.278931,0.278931,1242282757
2019-09-23,0.278602,0.286114,0.268575,0.268675,0.268675,1484938724
2019-09-24,0.268686,0.272868,0.227052,0.235226,0.235226,2114210732
2019-09-25,0.235483,0.248962,0.234906,0.246441,0.246441,1800796894
2019-09-26,0.246448,0.250457,0.234037,0.243784,0.243784,1387714462
2019-09-27,0.243712,0.246306,0.236745,0.244021,0.244021,1277746422
2019-09-28,0.244023,0.245047,0.240754,0.242571,0.242571,978211509
2019-09-29,0.242592,0.243348,0.237544,0.241388,0.241388,931369885
2019-09-30,0.241383,0.260146,0.238320,0.255933,0.255933,1662002376
2019-10-01,0.256213,0.260526,0.247843,0.249565,0.249565,1319433697
2019-10-02,0.249618,0.254884,0.246791,0.253539,0.253539,1093145012
2019-10-03,0.253457,0.253503,0.244366,0.247860,0.247860,1043933395
2019-10-04,0.247924,0.256247,0.247425,0.253935,0.253935,1078860455
2019-10-05,0.253608,0.256505,0.249384,0.253457,0.253457,944304198
2019-10-06,0.253434,0.257705,0.252341,0.257705,0.257705,965338466
2019-10-07,0.257570,0.279092,0.255627,0.275685,0.275685,1938984642
2019-10-08,0.275829,0.283569,0.271744,0.278459,0.278459,1518125768
2019-10-09,0.278392,0.283725,0.274915,0.281627,0.281627,1579225264
2019-10-10,0.281551,0.281551,0.268893,0.272073,0.272073,1383555181
2019-10-11,0.272109,0.275936,0.268589,0.271099,0.271099,1265760689
2019-10-12,0.271115,0.278960,0.271074,0.273191,0.273191,1100066310
2019-10-13,0.273129,0.281705,0.272383,0.277765,0.277765,1176911157
2019-10-14,0.277626,0.296590,0.276666,0.296523,0.296523,1685629956
